  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     0:01 /sbin/init splash
    2 ?        S      0:00 [kthreadd]
    3 ?        S      0:00 [ksoftirqd/0]
    5 ?        S<     0:00 [kworker/0:0H]
    7 ?        S      1:13 [rcu_sched]
    8 ?        S      0:00 [rcu_bh]
    9 ?        S      0:24 [rcuos/0]
   10 ?        S      0:00 [rcuob/0]
   11 ?        S      0:00 [migration/0]
   12 ?        S      0:00 [watchdog/0]
   13 ?        S      0:00 [watchdog/1]
   14 ?        S      0:00 [migration/1]
   15 ?        S      0:00 [ksoftirqd/1]
   17 ?        S<     0:00 [kworker/1:0H]
   18 ?        S      0:10 [rcuos/1]
   19 ?        S      0:00 [rcuob/1]
   20 ?        S      0:00 [watchdog/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:00 [ksoftirqd/2]
   24 ?        S<     0:00 [kworker/2:0H]
   25 ?        S      0:20 [rcuos/2]
   26 ?        S      0:00 [rcuob/2]
   27 ?        S      0:00 [watchdog/3]
   28 ?        S      0:00 [migration/3]
   29 ?        S      0:00 [ksoftirqd/3]
   31 ?        S<     0:00 [kworker/3:0H]
   32 ?        S      0:08 [rcuos/3]
   33 ?        S      0:00 [rcuob/3]
   34 ?        S<     0:00 [khelper]
   35 ?        S      0:00 [kdevtmpfs]
   36 ?        S<     0:00 [netns]
   37 ?        S<     0:00 [perf]
   38 ?        S      0:00 [khungtaskd]
   39 ?        S<     0:00 [writeback]
   40 ?        SN     0:00 [ksmd]
   41 ?        SN     0:00 [khugepaged]
   42 ?        S<     0:00 [crypto]
   43 ?        S<     0:00 [kintegrityd]
   44 ?        S<     0:00 [bioset]
   45 ?        S<     0:00 [kblockd]
   46 ?        S<     0:00 [ata_sff]
   47 ?        S<     0:00 [md]
   48 ?        S<     0:00 [devfreq_wq]
   53 ?        S      0:00 [kswapd0]
   54 ?        S      0:00 [fsnotify_mark]
   55 ?        S      0:00 [ecryptfs-kthrea]
   67 ?        S<     0:00 [kthrotld]
   68 ?        S<     0:00 [acpi_thermal_pm]
   73 ?        S<     0:00 [ipv6_addrconf]
   92 ?        S<     0:00 [deferwq]
   93 ?        S<     0:00 [charger_manager]
  151 ?        S<     0:00 [firewire]
  152 ?        S<     0:00 [kpsmoused]
  153 ?        S<     0:00 [firewire_ohci]
  155 ?        S      0:26 [kworker/3:1]
  156 ?        S      0:00 [scsi_eh_0]
  157 ?        S<     0:00 [scsi_tmf_0]
  158 ?        S      0:00 [scsi_eh_1]
  159 ?        S<     0:00 [scsi_tmf_1]
  160 ?        S      0:00 [scsi_eh_2]
  161 ?        S<     0:00 [scsi_tmf_2]
  162 ?        S      0:00 [scsi_eh_3]
  163 ?        S<     0:00 [scsi_tmf_3]
  164 ?        S      0:00 [scsi_eh_4]
  165 ?        S<     0:00 [scsi_tmf_4]
  166 ?        S      0:00 [scsi_eh_5]
  167 ?        S<     0:00 [scsi_tmf_5]
  174 ?        S      0:00 [kworker/3:2]
  183 ?        S<     0:00 [kdmflush]
  184 ?        S<     0:00 [bioset]
  185 ?        S<     0:00 [kdmflush]
  187 ?        S<     0:00 [bioset]
  200 ?        S      0:01 [jbd2/dm-0-8]
  201 ?        S<     0:00 [ext4-rsv-conver]
  236 ?        S      0:00 [kauditd]
  264 ?        Ss     0:01 /lib/systemd/systemd-journald
  297 ?        Ss     0:00 /lib/systemd/systemd-udevd
  355 ?        S<     0:00 [kworker/1:1H]
  357 ?        S<     0:00 [kworker/2:1H]
  358 ?        S<     0:00 [kworker/3:1H]
  359 ?        S<     0:00 [kworker/0:1H]
  360 ?        S      0:00 [irq/27-mei_me]
  450 ?        S<     0:00 [kfd_process_wq]
  451 ?        S<     0:00 [ttm_swap]
  452 ?        S<     0:00 [hd-audio0]
  468 ?        S<     0:00 [radeon-crtc]
  469 ?        S<     0:00 [radeon-crtc]
  470 ?        S<     0:00 [radeon-crtc]
  471 ?        S<     0:00 [radeon-crtc]
  472 ?        S<     0:00 [radeon-crtc]
  473 ?        S<     0:00 [radeon-crtc]
  475 ?        S<     0:00 [hd-audio1]
